"DO","time","day"
5.93,16:17:11,3
5.9,16:22:11,3
5.92,16:27:01,3
5.92,16:32:01,3
5.95,16:37:11,3
5.94,16:42:01,3
5.91,16:47:11,3
5.94,16:52:01,3
5.93,16:57:01,3
5.93,17:02:01,3
5.97,17:07:01,3
5.96,17:12:01,3
5.96,17:17:01,3
5.98,17:22:11,3
6,17:27:01,3
5.99,17:32:01,3
6,17:37:01,3
6,17:42:01,3
6.02,17:47:11,3
6.01,17:52:01,3
6.03,17:57:11,3
6.02,18:02:01,3
6.03,18:07:01,3
6.02,18:12:01,3
6.03,18:17:01,3
6.04,18:22:11,3
6.09,18:27:01,3
6.07,18:32:11,3
6.06,18:37:01,3
6.1,18:42:01,3
6.06,18:47:01,3
6.07,18:52:11,3
6.1,18:57:01,3
6.11,19:02:01,3
6.14,19:07:01,3
6.09,19:12:11,3
6.1,19:17:01,3
6.11,19:22:01,3
6.13,19:27:01,3
6.15,19:32:01,3
6.14,19:37:11,3
6.17,19:42:01,3
6.17,19:47:01,3
6.17,19:52:01,3
6.18,19:57:01,3
6.18,20:02:01,3
6.19,20:07:01,3
6.19,20:12:11,3
6.2,20:17:11,3
6.18,20:22:01,3
6.2,20:27:01,3
6.21,20:32:01,3
6.21,20:37:01,3
6.23,20:42:11,3
6.22,20:47:11,3
6.22,20:52:01,3
6.24,20:57:01,3
6.23,21:02:01,3
6.25,21:07:01,3
6.25,21:12:11,3
6.27,21:17:01,3
6.26,21:22:11,3
6.27,21:27:11,3
6.27,21:32:01,3
6.28,21:37:01,3
6.28,21:42:01,3
6.29,21:47:01,3
6.3,21:52:01,3
6.31,21:57:01,3
6.31,22:02:01,3
6.32,22:07:01,3
6.32,22:12:01,3
6.33,22:17:01,3
6.34,22:22:01,3
6.34,22:27:11,3
6.35,22:32:11,3
6.35,22:37:11,3
6.35,22:42:11,3
6.34,22:47:01,3
6.33,22:52:01,3
6.35,22:57:01,3
6.32,23:02:01,3
6.29,23:07:01,3
6.31,23:12:11,3
6.3,23:17:01,3
6.3,23:22:01,3
6.31,23:27:01,3
6.33,23:32:01,3
6.3,23:37:11,3
6.3,23:42:01,3
6.31,23:47:11,3
6.32,23:52:01,3
6.32,23:57:01,3
6.33,00:02:01,4
6.39,00:07:01,4
6.38,00:12:01,4
6.36,00:17:01,4
6.37,00:22:01,4
6.36,00:27:01,4
6.35,00:32:01,4
6.34,00:37:01,4
6.31,00:42:01,4
6.34,00:47:01,4
6.34,00:52:01,4
6.34,00:57:01,4
6.32,01:02:01,4
6.32,01:07:01,4
6.31,01:12:01,4
6.31,01:17:01,4
6.3,01:22:01,4
6.3,01:27:01,4
6.31,01:32:01,4
6.32,01:37:01,4
6.31,01:42:01,4
6.33,01:47:01,4
6.33,01:52:01,4
6.31,01:57:11,4
6.31,02:02:01,4
6.32,02:07:01,4
6.3,02:12:01,4
6.3,02:17:01,4
6.3,02:22:11,4
6.29,02:27:01,4
6.28,02:32:11,4
6.27,02:37:11,4
6.26,02:42:01,4
6.21,02:47:01,4
6.22,02:52:01,4
6.22,02:57:01,4
6.17,03:02:01,4
6.19,03:07:11,4
6.17,03:12:01,4
6.18,03:17:11,4
6.15,03:22:01,4
6.18,03:27:01,4
6.17,03:32:01,4
6.16,03:37:01,4
6.15,03:42:01,4
6.13,03:47:01,4
6.14,03:52:11,4
6.16,03:57:01,4
6.15,04:02:01,4
6.17,04:07:02,4
6.15,04:12:01,4
6.19,04:17:01,4
6.19,04:22:01,4
6.16,04:27:01,4
6.16,04:32:01,4
6.14,04:37:01,4
6.15,04:42:01,4
6.16,04:47:01,4
6.13,04:52:01,4
6.16,04:57:11,4
6.14,05:02:01,4
6.13,05:07:01,4
6.15,05:12:01,4
6.13,05:17:01,4
6.13,05:22:11,4
6.13,05:27:11,4
6.12,05:32:01,4
6.12,05:37:01,4
6.1,05:42:01,4
6.11,05:47:01,4
6.12,05:52:01,4
6.1,05:57:01,4
6.1,06:02:01,4
6.1,06:07:01,4
6.08,06:12:11,4
6.04,06:17:01,4
6.02,06:22:01,4
6.01,06:27:01,4
5.97,06:32:01,4
5.96,06:37:01,4
5.92,06:42:01,4
5.9,06:47:11,4
5.89,06:52:01,4
5.89,06:57:01,4
5.88,07:02:01,4
5.84,07:07:01,4
5.9,07:12:01,4
5.88,07:17:01,4
5.89,07:22:11,4
5.93,07:27:01,4
5.89,07:32:01,4
5.87,07:37:01,4
5.88,07:42:01,4
5.83,07:47:01,4
5.84,07:52:01,4
5.85,07:57:01,4
5.81,08:02:01,4
5.78,08:07:01,4
5.74,08:12:01,4
5.71,08:17:01,4
5.73,08:22:11,4
5.7,08:27:11,4
5.56,08:32:01,4
5.52,08:37:01,4
5.57,08:42:01,4
5.54,08:47:01,4
5.53,08:52:01,4
5.55,08:57:01,4
5.62,09:02:01,4
5.63,09:07:01,4
5.64,09:12:01,4
5.67,09:17:01,4
5.66,09:22:01,4
5.67,09:27:01,4
5.68,09:32:01,4
5.68,09:37:01,4
5.68,09:42:01,4
5.68,09:47:11,4
5.68,09:52:01,4
5.66,09:57:01,4
5.68,10:02:01,4
5.69,10:07:01,4
5.68,10:12:01,4
5.67,10:17:11,4
5.67,10:22:01,4
5.67,10:27:01,4
5.66,10:32:01,4
5.68,10:37:01,4
5.68,10:42:01,4
5.67,10:47:01,4
5.67,10:52:01,4
5.69,10:57:01,4
5.68,11:02:11,4
5.68,11:07:01,4
5.68,11:12:11,4
5.68,11:17:01,4
5.68,11:22:11,4
5.68,11:27:01,4
5.68,11:32:01,4
5.67,11:37:11,4
5.68,11:42:01,4
5.67,11:47:01,4
5.68,11:52:01,4
5.68,11:57:01,4
5.68,12:02:01,4
5.68,12:07:01,4
5.68,12:12:01,4
5.68,12:17:01,4
5.69,12:22:01,4
5.67,12:27:11,4
5.67,12:32:11,4
5.68,12:37:11,4
5.69,12:42:01,4
5.69,12:47:01,4
5.69,12:52:01,4
5.69,12:57:01,4
5.68,13:02:02,4
5.69,13:07:01,4
5.68,13:12:11,4
5.68,13:17:01,4
5.68,13:22:11,4
5.68,13:27:01,4
5.7,13:32:01,4
5.69,13:37:11,4
5.7,13:42:01,4
5.7,13:47:01,4
5.71,13:52:01,4
5.68,13:57:01,4
5.71,14:02:11,4
5.7,14:07:01,4
5.71,14:12:01,4
